RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO,DEFASAGEM_T1,IAN_T1,INDE_T1,IDA_T1,IEG_T1,PEDRA_T1,FASE_T1,DEFASADO_T1,PIOROU_DEFASAGEM,RISCO_DEFASAGEM,QUEDA_INDE
RA-1,2022,7.0,A,19.0,Feminino,2016,6,Escola Pública,Pública,Quartzo,5.783,5.0,4.0,4.1,8.3,5.6,,7.278,2.7,3.5,6.0,8.0,-1,Moderada,1,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-2,2022,7.0,A,17.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ametista,7.055,10.0,6.8,5.2,8.8,6.3,,6.778,6.3,4.5,9.7,7.0,0,Em fase,0,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-5,2022,7.0,A,17.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ametista,7.427,10.0,5.2,8.6,7.9,5.6,,7.389,7.0,2.9,5.7,7.0,0,Em fase,0,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-6,2022,7.0,A,18.0,Feminino,2021,1,Escola Pública,Pública,Quartzo,5.848,5.0,3.3,4.5,7.9,7.5,,7.222,2.3,5.3,2.3,8.0,-1,Moderada,1,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-7,2022,7.0,A,18.0,Masculino,2017,5,Rede Decisão,Privada/Bolsa,Ágata,6.818,5.0,7.6,8.4,,7.5,,7.667,8.2,5.7,9.0,8.0,-1,Moderada,1,0.0,4.0,False,1,0,10.0,,,,,8.0,0,0,0,
RA-12,2022,7.0,A,17.0,Feminino,2020,2,Escola Pública,Pública,Quartzo,4.832,10.0,1.5,4.0,,6.9,,6.389,2.7,1.1,0.7,7.0,0,Em fase,0,0.0,4.0,False,1,0,10.0,,,,,8.0,0,0,0,
RA-13,2022,7.0,A,18.0,Masculino,2016,6,Escola Pública,Pública,Ágata,6.902,5.0,4.7,7.4,7.9,7.5,,8.056,3.5,5.5,5.2,8.0,-1,Moderada,1,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-14,2022,7.0,D,21.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.793,5.0,4.0,8.3,7.9,7.5,,7.75,8.0,0.0,,8.0,-1,Moderada,1,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-17,2022,7.0,D,20.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.068,5.0,7.8,10.0,8.8,7.5,,8.292,9.0,6.5,,8.0,-1,Moderada,1,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-19,2022,7.0,D,19.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.665,5.0,8.0,9.5,7.9,7.5,,7.0,7.0,9.0,,8.0,-1,Moderada,1,0.0,4.0,False,0,-1,5.0,7.710866667,7.8,9.4,Ametista,7.0,1,0,1,0.0
RA-21,2022,7.0,D,18.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.945,5.0,3.8,9.2,9.6,7.5,,7.25,7.0,0.5,,8.0,-1,Moderada,1,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-23,2022,6.0,A,17.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.677,5.0,6.7,8.2,8.3,8.1,,8.556,7.2,4.7,8.2,7.0,-1,Moderada,1,1.0,4.0,False,0,1,10.0,,,,,8.0,0,0,0,
RA-25,2022,6.0,A,17.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.979,5.0,6.9,8.3,8.3,8.8,,9.667,9.2,3.8,7.7,7.0,-1,Moderada,1,1.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-26,2022,6.0,A,17.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.677,5.0,8.0,8.8,9.6,10.0,,10.0,9.5,4.4,10.0,7.0,-1,Moderada,1,1.0,4.0,False,0,-1,5.0,,,,,7.0,1,0,1,
RA-27,2022,6.0,A,17.0,Masculino,2016,6,Rede Decisão,Privada/Bolsa,Ametista,7.124,5.0,8.0,7.6,,8.1,,9.111,7.7,6.3,10.0,7.0,-1,Moderada,1,1.0,4.0,False,1,0,10.0,7.921266667,6.9,7.7,Ametista,7.0,0,0,0,0.0
RA-29,2022,6.0,A,17.0,Masculino,2022,0,Escola Pública,Pública,Quartzo,4.985,5.0,3.7,4.0,,8.8,,7.611,6.3,1.1,3.8,7.0,-1,Moderada,1,0.0,4.0,False,1,0,10.0,,,,,8.0,0,0,0,
RA-31,2022,6.0,A,17.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Topázio,8.843,5.0,8.0,9.5,10.0,9.4,,10.0,9.0,5.7,9.3,7.0,-1,Moderada,1,1.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-32,2022,6.0,A,16.0,Feminino,2018,4,Rede Decisão,Privada/Bolsa,Ametista,7.37,10.0,6.1,5.2,8.8,8.8,,7.944,5.7,3.6,8.9,6.0,0,Em fase,0,0.0,4.0,False,0,0,10.0,6.716666667,7.9,8.2,Ágata,7.0,0,0,0,1.0
RA-34,2022,6.0,A,17.0,Masculino,2016,6,Rede Decisão,Privada/Bolsa,Ágata,6.259,5.0,3.8,4.8,9.6,8.1,,7.278,4.7,4.0,2.8,7.0,-1,Moderada,1,0.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-35,2022,6.0,A,17.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Topázio,8.965,5.0,8.5,9.6,10.0,9.4,,10.0,9.0,7.1,9.3,7.0,-1,Moderada,1,1.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-36,2022,6.0,A,17.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Ametista,7.876,5.0,6.8,9.0,9.2,6.9,,8.944,8.5,4.3,7.8,7.0,-1,Moderada,1,1.0,4.0,False,0,0,10.0,,,,,8.0,0,0,0,
RA-38,2022,6.0,A,17.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Topázio,8.523,5.0,8.6,8.9,9.2,7.5,,9.833,9.0,7.0,9.7,7.0,-1,Moderada,1,1.0,4.0,False,0,0,10.0,8.835333333,7.7,9.7,Topázio,7.0,0,0,0,0.0
RA-39,2022,6.0,A,16.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ágata,6.033,10.0,6.9,4.8,,6.9,,6.111,7.7,5.1,7.8,6.0,0,Em fase,0,0.0,4.0,False,1,0,10.0,8.710333333,7.8,9.1,Topázio,7.0,0,0,0,0.0
